korean,english
서울까지 꼭 갈거에요?,Are (you) even going (all the way) to Seoul?
감기,Cold (disease)
감기 때문에 모리가 아파요,I have a headache because I have a cold
어제는 피곤해서 일직 잤어요,(I) went to bed early yesterday because I was tired
온종일 설사를 했어요,I had diarrhea the whole day
어디 아파요?,Are you feeling sick?
저는 내일 아침에 올지도 몰라요,I might come tomorrow morning
감기 일지도 몰라요,It might be a cold
올굴색이 안 좋아!,(You) don't look so well!
내일 민경이 만날지도 몰라요!,I might meet Mingyeong tomorrow!
글세,Well / Let me think ...
방금,Just now / A few minutes ago
찾아요,To look for (Present Tense)
오기 전에 전화해요!,Call (me) before (you) come!
영화 보기 전에 팝콘 사자!,Let's buy popcorn before watching the movie!
친구 만나기 전에 선물 살 거야!,(I) will buy a present before meeting (my) friend!
미국 가기 전에 연락해!,Contact (me) before going to the US!
시험 본 다임에 술 마셨어,"After taking the test, (we) drank alcohol"
술 마신 다음에 노래방 가자!,"After drinking alcohol, let's go to Karaoke!"
오른쪽,Right side
왼쪽,Left side
건물,Building
아파트,Apartment
설명해요,To explain (Present Tense)
배달,Delivery (service)
거기,There
찾아,To search / look for (Present Tense)
식당,Restaurant
버튼,Button
한국어 정말 쉬워요!,Korean is really easy!
읽기 쉬워요,(It is) easy to read
찾기 힘들어요,(It is) difficult to find
수업 이해하기 어려워요,The class is hard to understand
이해해요,To understand (Present Tense)
날씨,Weather
건강해요,To be healthy (Present Tense)
지내요,To spend time / To get along (Present Tense)
생겨요,To get / to acquire / to come into existence (Present Tense)
달리기 시작했어요,(I) started running
어제부터 추워지기 시작했어요,It started to get cold since yesterday
저는 오늘 일하기 시작했어요,I started working today
내일부터 바빠지기 시작할 거예요,(I) will start getting busy from tomorrow
방해해요,To bother / To disturb (Present Tense)
귀찮게 해요,To annoy someone (Present Tense)
시험,Test / Exam
말 시켜요,To talk to / To speak to (Present Tense)
거짓말,Lie
거짓말해요,To lie (Present Tense)
벌써,Already
킅나요,To be over (Present Tense)
영화는 벌써 킅났어요!,The movie is already over!
방해하지 마세요!,Stop bothering (me)!
질투해요,To be jealous (Present Tense)
잘못,Error / Mistake
잘못해요,To make a mistake (Present Tense)
이 책은 읽으면 읽을 수록 재미있어요!,"The more (I) read this book, the more interesting it is"
술은 마시면 마실 수록 마시고 싶어요,"The more (I) drink alcohol, the more I want to drink"
무리해요,To overwork (Present Tense)
들어가요,To enter (Present Tense)
들어와요,To come in (Present Tense)
요즘,These days / Nowadays
얼음,Ice
자꾸 거짓말을 하니까 친구 없어요!,(You) don't have friends because you constantly tell lies
밥 먹기 전에 손 씻어!,Wash your hands before eating!
영화를 보고," 옷을 사고, 김치를 먹을 거예요,(I) am going to watch a movie, buy clothes and eat kimchi"
먹으면서 영화 봐요,(I) eat while watching a movie
회식,Company dinner
회식해요,To go on a company dinner (Present Tense)
신나요,To be exciting (Present Tense)
가격,Price
종류,Type / Kind / Sort
중에서,Amongst / Between / Out of
나는 수학이 제일 싫어해요!,I hate Mathematics the most!
이 호수는 세계에서 가장 거요!,This lake is the biggest in the world!
이 학생들 중에서 주환 제일 예뻐요,Johnny is the most beautiful of the students
나는 머리가 좋아해요,I am smart
너는 선생님만큼 예뻐어,You are as pretty as Seonsaengnim
이것은 그것만큼 좋아지 않아요,This one is not as good as that one
나랑 비교해요,To compare with me (Present Tense)
저를 제 친구하고 비교하지 마세요!,Don't compare me to my friends!
저는 못 했어요,I couldn't do it
나도 몰라!,I don't know either!
어제 잡채라는 한국 음식을 먹었어요,(I) ate a Korean dish called Japchae yesterday
월요일에 민수라는 사람이 전화했어,Someone called Minsu called on Monday
결석,Absence
일주일에 몇 번 술 마셔요?,How many times a week do (you) drink alcohol?
내일 비가 안 오면 갈 거야,"If it doesn't rain tomorrow, (we) will go"
빨리 오지 않으면 혼자 갈거야!,"If (you) don't come quickly, (I) will go by myself"
만약 전화 안 해면 먼저 밥 먹거!,"If (I) don't call you, (you) eat first!"
회식,Company dinner
신나다,Exciting
저는 맥주 6병까지 마실 수 있어요,I can drink up to 6 bottles of beer
내일 병원에 갈 수도 있어요,(I) might go to the hospital tomorrow
저는 내일 시간이 없을 수도 있어요,I might not have time tomorrow
억,100 million
복권,Lottery
소주를 마시든지 물을 마시든지 해!,Drink either soju or water!
일을 하든지 공부를 하든지," 열심히 해!,Weather (you) work or study, so your best!"
결혼을 하거나 말거나," 나는 다 궨찮아요!,Whether you get married or not, I'm all ok with it!"
중요해요,To be important (Present Tense)
잡아요,To catch (Present Tense)
잡혀요,To be caught (Present Tense)
